Name,Description,Values,Section
HXSTROKE,Dodatni wywiad w kierunku udaru,"{'0': 'Brak', '2': 'Obecny'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
FOCLSYM,Ogniskowe objawy neurologiczne podmiotowe,"{'0': 'Brak', '2': 'Obecne'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
FOCLSIGN,Ogniskowe objawy neurologiczne przedmiotowe,"{'0': 'Brak', '2': 'Obecne'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
HACHIN,Wskaźnik Ischemiczny Hachinskiego (HIS),{'zakres': '0 - 12'},Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDCOG,Choroba naczyń mózgowych przyczyniająca się do zaburzeń poznawczych,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
STROKCOG,Relacja pomiędzy udarem a zaburzeniami poznawczymi,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDIMAG,Dowody obrazowe,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowaniaNie ma zastosowaniaNie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDIMAG1,Pojedynczy strategiczny zawał,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowaniaNie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDIMAG2,Wielokrotne zawały,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDIMAG3,Ogniska hiperintensywne w istocie białej,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
CVDIMAG4,Inne dowody obrazowe,"{'0': 'Nie', '1': 'Tak', '8': 'Nie ma zastosowania'}",Wskaźnik Ischemiczny Hachinskiego i Choroby Naczyń Mózgowych
PDNORMAL,UPDRS normalny,"{'0': 'Nie, nie jest normalny', '1': 'Tak, jest normalny', '8': 'Brak danych'}",Unified Parkinson's Disease Rating Scale (UPDRS)
SPEECH,Mowa,"{'0': 'Normalna', '1': 'Niewielka utrata ekspresji, dykcji i/lub głośności', '2': 'Monotonna, niewyraźna, ale zrozumiała; umiarkowanie upośledzona', '3': 'Oznaczona jako upośledzona, trudna do zrozumienia', '4': 'Niezrozumiała', '8': 'Niemożliwa do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
FACEXP,Mimika twarzy,"{'0': 'Normala', '1': 'Minimalna hipomimia, może być prawidłowa (“kamienne oblicze”)', '2': 'Niewielki, ale stanowczo abnormalny zanik mimiki twarzy', '3': 'Umiarkowana hipomimia; usta rozwarte przez część czasu', '4': 'Zamaskowana lub sztywna mimika twarzy z poważną lub całkowitą utratą ekspresji; wargi rozchylone na ok. 0,5 cm lub więcej', '8': 'Niemożliwa do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRESTFAC,"Drżenie podczas odpoczynku - twarz, usta, podbródek","{'0': 'Brak', '1': 'Nieznacze i pojawia się rzadko', '2': 'Łagodna amplituda i czas trwaniu; lub umiarkowana amplituda, ale obecne tylko czasami', '3': 'Umiarkowana amplituda i obecne przez większość czasu', '4': 'Ciężka amplituda i obecne przez większość czasu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRESTRHD,Drżenie podczas odpoczynku - prawa ręka,"{'0': 'Brak', '1': 'Nieznacze i pojawia się rzadko', '2': 'Łagodna amplituda i czas trwaniu; lub umiarkowana amplituda, ale obecne tylko czasami', '3': 'Umiarkowana amplituda i obecne przez większość czasu', '4': 'Ciężka amplituda i obecne przez większość czasu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRESTLHD,Drżenie podczas odpoczynku - lewa ręka,"{'0': 'Brak', '1': 'Nieznacze i pojawia się rzadko', '2': 'Łagodna amplituda i czas trwaniu; lub umiarkowana amplituda, ale obecne tylko czasami', '3': 'Umiarkowana amplituda i obecne przez większość czasu', '4': 'Ciężka amplituda i obecne przez większość czasu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRESTRFT,Drżenie podczas odpoczynku - prawa stopa,"{'0': 'Brak', '1': 'Nieznacze i pojawia się rzadko', '2': 'Łagodna amplituda i czas trwaniu; lub umiarkowana amplituda, ale obecne tylko czasami', '3': 'Umiarkowana amplituda i obecne przez większość czasu', '4': 'Ciężka amplituda i obecne przez większość czasu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRESTLFT,Drżenie podczas odpoczynku - lewa stopa,"{'0': 'Brak', '1': 'Nieznacze i pojawia się rzadko', '2': 'Łagodna amplituda i czas trwaniu; lub umiarkowana amplituda, ale obecne tylko czasami', '3': 'Umiarkowana amplituda i obecne przez większość czasu', '4': 'Ciężka amplituda i obecne przez większość czasu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRACTRHD,Drżenie kinetyczne i pozycyjne - prawa ręka,"{'0': 'Brak', '1': 'Niewielkie; obecne podczas wykonywania ruchu', '2': 'Umiarkowana amplituda, obecne podczas wykonywania ruchu', '3': 'Umiarkowana amplituda zarówno podczas ruchu jak i przy utrzymaniu pozycji', '4': 'Ciężka aplituda; przeszkada w jedzeniu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TRACTLHD,Drżenie kinetyczne i pozycyjne - lewa ręka,"{'0': 'Brak', '1': 'Niewielkie; obecne podczas wykonywania ruchu', '2': 'Umiarkowana amplituda, obecne podczas wykonywania ruchu', '3': 'Umiarkowana amplituda zarówno podczas ruchu jak i przy utrzymaniu pozycji', '4': 'Ciężka aplituda; przeszkada w jedzeniu', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
RIGDNECK,Sztywność - kark,"{'0': 'Brak', '1': 'Niezanczna lub wykrywalna tylko, gdy aktywowana przez ruch w kończynie, która nie jest oceniana lub inny ruch', '2': 'Łagodna do umiarkowanej', '3': 'Średnia, ale pełny zakres ruchów jest łatwy do osiągnięcia', '4': 'Ciężka, pełny zakres ruchów jest osiągany z trudnością', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
RIGDUPRT,Sztywność - prawa kończyna górna,"{'0': 'Brak', '1': 'Niezanczna lub wykrywalna tylko, gdy aktywowana przez ruch w kończynie, która nie jest oceniana lub inny ruch', '2': 'Łagodna do umiarkowanej', '3': 'Średnia, ale pełny zakres ruchów jest łatwy do osiągnięcia', '4': 'Ciężka, pełny zakres ruchów jest osiągany z trudnością', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
RIGDUPLF,Sztywność - lewa kończyna górna,"{'0': 'Brak', '1': 'Niezanczna lub wykrywalna tylko, gdy aktywowana przez ruch w kończynie, która nie jest oceniana lub inny ruch', '2': 'Łagodna do umiarkowanej', '3': 'Średnia, ale pełny zakres ruchów jest łatwy do osiągnięcia', '4': 'Ciężka, pełny zakres ruchów jest osiągany z trudnością', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
RIGDLORT,Sztywność - prawa kończyna dolna,"{'0': 'Brak', '1': 'Niezanczna lub wykrywalna tylko, gdy aktywowana przez ruch w kończynie, która nie jest oceniana lub inny ruch', '2': 'Łagodna do umiarkowanej', '3': 'Średnia, ale pełny zakres ruchów jest łatwy do osiągnięcia', '4': 'Ciężka, pełny zakres ruchów jest osiągany z trudnością', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
RIGDLOLF,Sztywność - lewa kończyna dolna,"{'0': 'Brak', '1': 'Niezanczna lub wykrywalna tylko, gdy aktywowana przez ruch w kończynie, która nie jest oceniana lub inny ruch', '2': 'Łagodna do umiarkowanej', '3': 'Średnia, ale pełny zakres ruchów jest łatwy do osiągnięcia', '4': 'Ciężka, pełny zakres ruchów jest osiągany z trudnością', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TAPSRT,Szybkie ruchy palców - prawa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
TAPSLF,Szybkie ruchy palców - lewa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
HANDMOVR,Ruchy ręki - prawa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
HANDMOVL,Ruchy ręki - lewa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
HANDALTR,Ruchy naprzemienne ręki - prawa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
HANDALTL,Ruchy naprzemienne ręki - lewa ręka,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
LEGRT,Zwinność kończyn dolnych - prawa noga,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
LEGLF,Zwinność kończyn dolnych - lewa noga,"{'0': 'Normalne', '1': 'Łagodne spowolnienie i/lub zmniejszenie amplitudy', '2': 'Średnie upośledzenie; wyraźne i szybkie zmęczenie; mogą wystąpić okazjonalne przerwy w ruchu', '3': 'Ciężkie upośledzenie; częste wahanie przy rozpoczęciu ruchów lub przerwy w trwającym ruchu', '4': 'Pacjent ledwo jest w stanie wykonać zadanie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
ARISING,Wstawanie z krzesła,"{'0': 'Normalne', '1': 'Wolne; lub może potrzebować więcej niż jednego podejścia', '2': 'Podnosi się wspomagając o podłokietniki', '3': 'Ma tendencję do upadania z powrotem na krzesło i może potrzebować więcej niż jednego podejścia, ale może wstać bez pomocy', '4': 'Niezdolny do powstania bez pomocy', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
POSTURE,Postawa,"{'0': 'Normalna', '1': 'Nie do końca wyprostowana, lekko pochylona postawa; może być normalna dla starszych ludzi', '2': 'Umiarkowanie pochylona postawa, zdecydowanie abnormalna; może lekko przechylać się na jedną stronę', '3': 'Ciężkie pochylenie postawy z kifozą; może umiarkowanie przechylać się na jedną stronę', '4': 'Ciężkie zgięcie z ekstremalnymi nieprawidłowość w postawie', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
GAIT,Chód,"{'0': 'Normalny', '1': 'Pacjent chodzi powoli; może chłapać małyi krokami, ale nie potrzebuje korzystać z laski/balkonika', '2': 'Pacjent ma trudności w chodzeniu, ale wymaga tylko częściowej pomocy lub nie wymaga jej wcale; może chodzić małmi krokami, chwiać się lub używać laski/balonika', '3': 'Poważne zaburzenia chodu wymagające wsparcia osób trzecich', '4': 'Pacjent nie jest w stanie chodzić bez pomocy osób trzecich', '8': 'Niemożliwy do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
POSSTAB,Stabilność postawy,"{'0': 'Postawa normalna, wyprostowana', '1': 'Obecność retropulsji (tendencj do padania do tyłu), ale odzyskuje równowagę samodzielnie', '2': 'Brak prób korekty postawy; pacjent upadłby bez pomocy egzaminującego', '3': 'Bardzo niestabilna, ma skłonność do spontaniczej utraty równowagi', '4': 'Niezdolny do stania bez zewnętrznego wsparcia', '8': 'Niemożliwa do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
BRADYKIN,Bradykinezja i hipokinezja ciała,"{'0': 'Brak', '1': 'Minimalna powolność, nadająca ruchom celowy charakter; może być to normą dla niektórych osób; możliwe zmniejszenie amplitudy', '2': 'Łagodne spowolnienie ruchów i ograniczenie zkresu ruchów, które jest zdecydowanie abnormalne. Alternatywnie, widoczne zmniejszenie amplitudy', '3': 'Umiarkowane spowolnienie, ograniczenie zakresu i amplitudy ruchów', '4': 'Ciężkie spowolnienie, ograniczenie zakresu i amplitudy ruchów', '8': 'Niemożliwe do przetestowania'}",Unified Parkinson's Disease Rating Scale (UPDRS)
NPIQINF,Osoba współtowarzysząca w NPI-Q,"{'1': 'Małżonek', '2': 'Dziecko', '3': 'Inna'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
DEL,Urojenia w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
HALL,Halucynacje w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
AGIT,Pobudzenie lub agresja w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
DEPD,Depresja lub dysforia w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
ANX,Lęk w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
ELAT,Euforia lub rozradowanie w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
APA,Apatia lub obojętnośćw ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
DISN,Rozhamowanie w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
IRR,Irytacja lub drażliwość w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
MOT,Aberracyjne zachowania motoryczne w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
NITE,Nocna aktywność w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
APP,Apetyt i problemy z jedzeniem w ostatnim miesiącu,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}","Kwestionariusz Neuropsychiatryczny (Neuropsychiatric Inventory Questionnaire, NPI-Q)"
NOGDS,"Czy pacjent jest zdolny do wykonania testu GDS, zgodnie z najlepszą oceną klinicysty?","{'0': 'Zdolny do wykonania GDS', '1': 'Niezdolny do wykonania GDS'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
SATIS,"Myśląc o całym swoim życiu, czy jest Pan(i) z niego zadowolony(-a)?","{'0': 'Tak', '1': 'Nie', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
DROPACT,"Czy zmniejszyła się liczba Pani(-a) aktywności i zainteresowań?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
EMPTY,"Czy ma Pan(i) poczucie, że życie jest puste?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
BORED,"Czy często czuje się Pan(i) znudzony(-a)?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
SPIRITS,"Czy jest Pan(i) w dobrym nastroju przez większość czasu?","{'0': 'Tak', '1': 'Nie', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
AFRAID,"Czy obawia się Pan(i), że może się zdarzyć Panu(-i) coś złego?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
HAPPY,"Czy przez większość czasu czuje się Pan(i) szczęśliwy(-a)?","{'0': 'Tak', '1': 'Nie', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
HELPLESS,"Czy często czuje się Pan(i) bezradny(-a)?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
STAYHOME,"Czy zamiast wyjść z domu, woli Pan(i) w nim pozostać?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
MEMPROB,"Czy czuje Pan(i), że ma więcej kłopotów z pamięcią niż inni ludzie?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
WONDRFUL,"Czy myśli Pan(i), że wspaniale jest żyć?","{'0': 'Tak', '1': 'Nie', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
WRTHLESS,"Czy obecnie czuje się Pan(i) gorszy(-a) od innych ludzi?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
ENERGY,"Czy czuje się Pan(i) pełny(-a) energii?","{'0': 'Tak', '1': 'Nie', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
HOPELESS,"Czy uważa Pan(i), że sytuacja jest beznadziejna?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
BETTER,"Czy mysli Pan(i), że ludzie są lepsi niż Pan(i)?","{'0': 'Nie', '1': 'Tak', '9': 'Nie udzielono odpowiedzi'}","Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
NACCGDS,Wynik łączny GDS,{'zakres': '0 - 15'},"Skala Depresji Geriatrycznej (Geriatric Depression Scale, GDS)"
BILLS,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: opłacaniu rachunków, płaceniu w sklepach, prowadzeniu rozliczeń finansowych, wypisywaniu czeków?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
TAXES,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: przygotowywaniu dokumentów podatkowych, prowadzeniu spraw finansowych lub innych dokumentów?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
SHOPPING,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: samodzielnym kupowaniu ubrań, artykułów domowych lub spożywczych?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
GAMES,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: grze wymagającej umiejętności (np. brydż, szachy) lub wykonywaniu hobby?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
STOVE,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: gotowaniu wody, parzeniu kawy, wyłaczaniu kuchenki?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
MEALPREP,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: przygotowaniu zbalansowanego posiłku?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
EVENTS,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: śledzeniu bieżących wydarzeń?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
PAYATTN,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: skupieniu uwagi i rozumieniu programu telewizyjnego, książki lub czasopisma?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
REMDATES,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: pamiętaniu spotkań, uroczystości rodzinnych, dni tygodnia, przyjmowania leków?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
TRAVEL,"Czy w ciągu ostatnich 4 tygodni pacjent miał trudności lub potrzebował pomocy w: podróżowaniu poza sąsiedztwo, kierowaniu lub przemieszczaniu się transportem publicznym?","{'0': 'Stan normalny', '1': 'Ma problemy, ale robi samodzielnie', '2': 'Wymaga pomocy', '3': 'Jest zależny od innej osoby', '8': 'Nie ma zastosowania (np. nigdy nie wystąpiły)', '9': 'Brak danych'}",Kwestionariusz Aktywności Funkcjonalnych (FAQ)
NACCNREX,Czy wszystkie wyniki niczym się nie wyróżniały?,"{'0': 'Nieprawidłowe wyniki', '1': 'Brak nieprawidłowych wyników lub wyniki normalne dla wieku', '9': 'Brak danych'}",Wyniki Testów Fizycznych/Neurologicznych
NORMEXAM,Czy odnotowano nieprawidłowe wyniki dla testów neurologicznych?,"{'0': 'Brak nieprawidłowych wyników', '1': 'Tak - nieprawidłowe wyniki były zgodne z syndromami opisanymi w pytaniach 2-8', '2': 'Tak - nieprawidłowe wyniki były zgodne ze zmianami związanymi z wiekiem lub niepowiązane z chorobami otępiennymi (np. porażenie Bella, G51.0)'}",Wyniki Testów Fizycznych/Neurologicznych
FOCLDEF,Czy są obecne deficyty tkanki nerwowej wskaujące na zaburzenie ośrodkowego układu nerwowego?,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Wyniki Testów Fizycznych/Neurologicznych
GAITDIS,Czy jest obecne zaburzenie chodu wskazujące na zaburenie ośrodkowego układu nerwowego?,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Wyniki Testów Fizycznych/Neurologicznych
EYEMOVE,Czy są obecne anomalie ruchu gałek ocznych wskazujące na zaburzenie ośrodkowego układu nerwowego?,"{'0': 'Nie', '1': 'Tak', '9': 'Brak danych'}",Wyniki Testów Fizycznych/Neurologicznych
PARKSIGN,Oznaki Parkinsonizmu,"{'0': 'Nie', '1': 'Tak'}",Wyniki Testów Fizycznych/Neurologicznych
